idDriver,idBike,unlock_date,lock_date,distance,trip_duration_category,station_unlock_count,travel_direction,lock_unlock_time_gap_hours
6847,815,5,5,7032,0,65,0,0
2290,625,5,5,2289,0,167,1,1
8918,678,9,9,2304,2,137,0,10
10770,962,27,28,24,0,126,2,1
10423,436,29,30,15850,0,5,0,0
5976,893,4,4,6050,0,48,1,0
4909,86,6,6,8182,1,26,1,0
5370,584,28,29,4748,0,5,0,0
616,1697,1,1,2893,1,102,1,0
212,2493,28,29,2482,0,91,0,1
9425,2476,28,29,18190,1,55,1,0
5427,2514,11,11,5476,0,148,0,1
5797,95,4,4,906,0,73,0,0
8497,2314,25,26,8835,1,118,0,1
5576,297,6,6,8884,1,121,0,1
4858,575,6,6,4908,0,42,1,0
13877,2427,18,19,13934,2,46,0,0
10593,876,9,9,137,1,73,0,0
1448,2191,6,6,1435,0,176,1,0
11077,1437,10,10,11292,1,140,1,0
1125,1755,29,30,1303,2,6,0,1
6555,2204,23,24,14623,0,68,0,0
1558,2818,25,26,2227,0,79,1,0
9209,84,26,27,12968,0,182,1,0
2136,1171,10,10,11452,0,43,0,0
9868,450,8,8,5208,0,43,0,4
7542,438,24,25,24,0,82,2,0
4229,2464,25,26,3868,0,26,0,0
5758,235,4,4,2002,0,28,0,0
16549,1218,24,25,5013,1,85,0,1
7971,1328,27,28,340,0,136,1,0
14977,2595,26,27,15056,1,32,1,0
2136,2861,18,19,2131,1,86,1,0
1005,2209,3,3,4683,1,129,0,0
6582,5,5,5,6745,0,8,1,0
5685,1291,4,4,5753,0,8,0,0
2805,159,1,1,2798,0,110,1,0
15666,1556,21,22,4994,0,101,1,1
4367,2322,4,4,2804,0,45,1,1
10816,1471,21,22,6554,0,73,1,0
1366,3091,25,26,9619,1,9,1,0
12425,928,17,18,1002,0,113,1,1
11829,1623,12,13,12110,1,136,1,0
8425,2558,6,6,8752,0,84,1,0
5340,1064,3,3,5387,0,168,0,1
393,1921,6,6,252,0,76,0,0
5029,1873,6,6,8362,0,26,1,0
663,2457,20,21,5636,0,110,0,0
3534,624,25,26,3546,0,53,0,0
11310,235,10,10,11549,0,157,0,1
4874,1039,28,29,11848,1,11,0,0
4047,2031,2,2,4031,1,175,1,0
3304,3010,13,14,24,1,159,2,0
141,2146,8,8,140,0,42,1,0
2439,1407,8,8,7919,0,51,0,0
4724,409,20,21,4762,1,76,1,1
9691,2197,8,8,6255,1,99,0,0
13334,1261,15,16,11562,0,141,1,0
332,1985,17,18,14160,2,37,0,1
2097,1398,0,0,2094,0,27,1,1
10596,1404,9,9,1448,1,20,1,0
16404,2377,23,24,16488,1,21,1,0
13956,12,24,25,16942,0,127,1,0
224,495,4,4,24,0,49,2,0
263,255,0,0,254,1,53,0,0
5091,2295,5,5,5135,0,166,0,0
2627,315,1,1,620,0,70,0,1
6089,2259,4,4,6190,0,29,1,0
11571,626,18,19,7144,0,178,1,0
4511,2887,22,23,15938,2,108,1,10
8119,2189,13,14,2862,2,12,1,1
299,698,0,0,799,1,86,0,0
18322,2556,29,30,8201,1,74,1,1
467,162,0,0,448,0,102,1,0
1449,508,19,20,2076,0,85,0,1
8139,1491,6,6,8442,1,124,1,0
3015,1862,13,14,7615,1,11,0,0
5775,2286,17,18,14107,1,147,0,1
3838,240,2,2,3829,1,29,1,0
10458,803,18,19,3284,1,7,1,0
5096,335,3,3,5139,1,84,0,1
11501,210,11,11,10631,0,115,0,0
2177,105,3,3,2167,0,123,1,0
211,206,0,0,203,1,124,1,0
11904,1714,12,13,4424,0,115,1,0
687,609,0,0,665,0,42,0,0
3947,410,2,2,3906,0,48,0,1
7747,2353,7,7,9410,0,89,1,1
5672,662,6,6,5737,0,151,0,0
12349,1123,13,14,1462,0,97,1,0
1055,523,0,0,1036,1,110,0,1
11271,151,13,14,4774,0,29,0,1
3776,828,28,29,18053,0,116,1,1
9045,2853,25,26,15194,0,164,1,0
11323,2616,16,17,8990,0,95,0,0
5442,762,4,4,5499,0,170,0,0
16908,3153,24,25,24,2,6,2,4
4074,141,2,2,1046,0,64,1,0
135,693,27,28,17011,0,73,0,0
4216,1036,29,30,12969,1,30,1,0
8890,2301,9,9,6489,0,24,0,0
685,3118,28,29,2183,1,122,1,1
6486,1732,4,4,6640,0,124,1,0
7388,2902,7,7,9736,1,33,1,1
4657,2291,3,3,733,0,5,1,0
11497,1501,16,17,13685,0,135,0,0
4997,2283,3,3,5048,1,23,0,1
10040,2355,15,16,10668,0,168,0,0
4776,733,28,29,18328,1,66,1,1
2443,1212,2,2,4107,0,101,1,0
8224,1543,20,21,7848,0,85,1,0
14014,462,17,18,637,1,6,1,0
5473,1072,4,4,2969,0,141,0,0
8478,1724,6,6,8822,0,126,0,0
15412,1809,20,21,15520,1,9,1,0
18468,137,29,30,18520,0,148,0,1
4729,512,10,10,3093,0,20,1,0
18533,1923,29,30,1598,0,137,1,0
8781,1149,24,25,5904,1,74,1,1
1246,2102,3,3,3847,1,157,0,0
