unlock_hour,lock_hour,station_lock,lock_station_name,distance,trip_speed,trip_duration_category,travel_direction,lock_unlock_time_gap_hours
14,5,21,21,22,42010,0,1,1
0,0,246,246,6816,46717,0,0,0
6,6,228,228,3195,4655,1,0,0
16,17,26,26,6103,8406,0,0,0
19,20,83,83,1505,1625,0,0,0
5,4,38,38,11411,21711,0,1,0
5,12,217,217,2278,9936,1,0,1
21,22,176,176,7818,20432,0,0,0
17,6,223,223,5393,13601,0,0,1
11,11,3,3,438,447,1,0,0
13,13,58,58,68,68,1,0,0
5,4,94,94,7088,10316,1,0,0
21,22,118,118,1106,1165,0,0,0
21,22,111,111,9706,43495,0,0,0
4,14,78,78,531,17600,0,1,0
21,22,23,23,4088,54516,0,0,0
6,9,190,190,8056,12413,1,1,1
11,11,37,37,5219,51098,0,1,0
22,21,81,81,1799,56188,1,1,1
8,18,250,250,14481,33472,0,0,0
7,14,91,91,3092,18894,1,1,1
7,7,50,50,8318,14566,1,1,0
11,11,127,127,16476,43695,0,1,0
6,6,126,126,17552,50367,0,0,0
13,13,117,117,10658,19423,0,0,0
7,7,145,145,12160,24381,0,0,0
21,13,91,91,3092,5354,0,1,1
7,7,83,83,465,34939,0,0,0
4,4,240,240,11578,22229,0,0,1
5,4,183,183,8143,25090,0,0,0
3,17,131,131,7173,16410,0,0,1
7,7,44,44,3888,11277,0,0,0
3,3,57,57,1202,42894,0,0,0
7,7,7,7,1822,29226,0,0,0
14,15,52,52,394,400,0,1,0
3,3,254,254,1097,56497,0,0,0
9,9,95,95,4685,16429,1,1,0
4,14,148,148,12647,33934,0,1,0
3,3,4,4,3605,6809,0,0,0
0,0,12,12,6928,15975,0,1,0
7,7,57,57,36,53077,1,1,0
4,14,8,8,753,16510,0,1,0
3,3,27,27,3098,24454,1,0,0
0,0,104,104,15623,39262,0,0,0
0,0,149,149,8739,15441,0,1,0
0,0,19,19,1563,22790,0,0,0
4,14,180,180,3411,4075,0,0,0
12,12,139,139,13729,49706,0,1,0
0,0,244,244,1670,30758,0,0,0
3,3,239,239,8461,13423,0,0,0
3,3,193,193,3361,40534,0,1,0
14,15,78,78,2214,57545,0,1,0
2,2,59,59,355,7785,0,1,0
20,21,251,251,159,5712,0,0,0
2,0,53,53,12802,47438,0,1,1
16,17,84,84,1915,3029,0,1,0
13,13,100,100,7635,18893,0,1,0
